year,tmID,playoff,confID,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,teamWLRatio,playoff_prev
3,NYL,Y,EA,833.0,1828.0,336.0,500.0,160.0,421.0,915.0,553.0,616.0,265.0,437.0,82.0,2162.0,744.0,1759.0,461.0,640.0,133.0,394.0,983.0,430.0,600.0,223.0,496.0,76.0,2082.0,1.9090909090909092,Y
4,NYL,N,EA,772.0,1740.0,400.0,567.0,145.0,400.0,870.0,496.0,638.0,261.0,458.0,100.0,2089.0,691.0,1733.0,484.0,645.0,149.0,434.0,961.0,410.0,597.0,228.0,478.0,88.0,2015.0,1.2857142857142858,Y
5,NYL,Y,EA,825.0,1923.0,412.0,537.0,181.0,500.0,957.0,527.0,587.0,262.0,470.0,128.0,2243.0,821.0,1959.0,459.0,581.0,155.0,467.0,1062.0,506.0,614.0,269.0,480.0,96.0,2256.0,0.8888888888888888,N
6,NYL,Y,EA,819.0,1932.0,398.0,531.0,216.0,617.0,1004.0,539.0,587.0,209.0,506.0,124.0,2252.0,867.0,2096.0,431.0,579.0,132.0,416.0,1101.0,517.0,589.0,288.0,430.0,123.0,2297.0,1.125,Y
7,NYL,N,EA,828.0,1860.0,452.0,552.0,208.0,605.0,974.0,498.0,613.0,214.0,462.0,112.0,2316.0,859.0,2012.0,442.0,608.0,125.0,398.0,1030.0,473.0,590.0,275.0,411.0,86.0,2285.0,1.125,Y
8,NYL,Y,EA,822.0,2069.0,512.0,650.0,216.0,645.0,1021.0,475.0,674.0,252.0,576.0,112.0,2372.0,966.0,2153.0,553.0,722.0,171.0,461.0,1173.0,508.0,668.0,270.0,485.0,134.0,2656.0,0.4782608695652174,N
9,NYL,Y,EA,870.0,2087.0,430.0,580.0,243.0,653.0,1075.0,500.0,618.0,289.0,612.0,109.0,2413.0,920.0,2223.0,471.0,619.0,190.0,589.0,1215.0,509.0,608.0,321.0,562.0,115.0,2501.0,0.8888888888888888,Y
10,NYL,N,EA,912.0,2168.0,490.0,653.0,259.0,706.0,1105.0,551.0,655.0,290.0,547.0,117.0,2573.0,924.0,2163.0,516.0,674.0,174.0,485.0,1175.0,496.0,625.0,285.0,559.0,109.0,2538.0,1.2666666666666666,Y
1,ORL,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ORL,N,EA,833.0,1911.0,397.0,546.0,145.0,424.0,925.0,473.0,583.0,255.0,486.0,130.0,2208.0,851.0,1964.0,378.0,495.0,153.0,450.0,1017.0,536.0,637.0,264.0,500.0,108.0,2233.0,1.0,Y
3,ORL,N,EA,768.0,1914.0,430.0,587.0,174.0,532.0,970.0,452.0,643.0,320.0,532.0,125.0,2140.0,806.0,1831.0,436.0,605.0,157.0,438.0,975.0,534.0,600.0,298.0,546.0,114.0,2205.0,0.6842105263157895,N
1,PHO,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PHO,N,WE,803.0,1800.0,513.0,661.0,124.0,394.0,894.0,465.0,630.0,285.0,429.0,91.0,2243.0,773.0,1828.0,421.0,574.0,135.0,416.0,969.0,486.0,699.0,224.0,531.0,91.0,2102.0,1.6666666666666667,Y
3,PHO,N,WE,767.0,1894.0,429.0,587.0,101.0,313.0,942.0,514.0,625.0,292.0,519.0,138.0,2064.0,785.0,1892.0,462.0,584.0,137.0,391.0,1031.0,524.0,603.0,283.0,517.0,127.0,2169.0,0.6842105263157895,N
4,PHO,N,WE,793.0,1889.0,405.0,538.0,100.0,328.0,918.0,427.0,623.0,267.0,501.0,94.0,2091.0,850.0,1870.0,436.0,608.0,155.0,388.0,1001.0,532.0,600.0,268.0,491.0,127.0,2291.0,0.5238095238095238,N
5,PHO,N,WE,801.0,2095.0,379.0,556.0,116.0,349.0,1000.0,461.0,664.0,310.0,479.0,111.0,2097.0,834.0,1867.0,466.0,626.0,136.0,371.0,1114.0,509.0,667.0,275.0,610.0,146.0,2270.0,0.3076923076923077,N
6,PHO,N,WE,826.0,1922.0,456.0,598.0,192.0,519.0,916.0,501.0,748.0,282.0,464.0,137.0,2300.0,784.0,1845.0,534.0,724.0,133.0,348.0,1020.0,456.0,660.0,226.0,536.0,137.0,2235.0,1.0,N
7,PHO,N,WE,826.0,1994.0,531.0,693.0,178.0,539.0,1062.0,549.0,697.0,243.0,517.0,179.0,2361.0,855.0,1993.0,523.0,720.0,121.0,332.0,1024.0,470.0,672.0,265.0,483.0,112.0,2354.0,0.8888888888888888,N
8,PHO,Y,WE,1079.0,2434.0,537.0,684.0,265.0,722.0,1145.0,640.0,741.0,275.0,442.0,127.0,2960.0,1023.0,2360.0,630.0,852.0,203.0,618.0,1283.0,578.0,669.0,231.0,537.0,126.0,2879.0,1.125,N
9,PHO,N,WE,1063.0,2419.0,616.0,754.0,283.0,802.0,1152.0,683.0,658.0,285.0,486.0,159.0,3025.0,1022.0,2526.0,570.0,716.0,290.0,762.0,1390.0,628.0,684.0,244.0,595.0,109.0,2904.0,2.090909090909091,Y
10,PHO,Y,WE,1069.0,2485.0,642.0,773.0,230.0,701.0,1226.0,560.0,794.0,232.0,489.0,156.0,3010.0,1036.0,2460.0,694.0,932.0,243.0,695.0,1298.0,650.0,717.0,234.0,500.0,129.0,3009.0,0.8888888888888888,N
1,POR,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,POR,N,WE,761.0,1828.0,488.0,697.0,145.0,433.0,936.0,480.0,761.0,265.0,593.0,93.0,2155.0,788.0,1847.0,577.0,766.0,150.0,447.0,953.0,487.0,729.0,277.0,531.0,130.0,2303.0,0.45454545454545453,N
3,POR,N,WE,733.0,1891.0,450.0,612.0,172.0,519.0,996.0,451.0,633.0,244.0,500.0,106.0,2088.0,791.0,1944.0,461.0,656.0,159.0,410.0,1106.0,501.0,643.0,293.0,474.0,144.0,2202.0,0.5238095238095238,N
1,SAC,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SAC,Y,WE,876.0,1993.0,449.0,650.0,142.0,459.0,1038.0,567.0,571.0,332.0,458.0,157.0,2343.0,811.0,1918.0,410.0,544.0,144.0,418.0,951.0,503.0,600.0,226.0,524.0,116.0,2176.0,1.9090909090909092,Y
